ProcessID,Name,End-to-End Business Process,Business Area
12685,"BI/BW Demo process RSA1, Excel, ERP",BI/BW Demo,IT Operations
72825,AS01 - Create Asset,Asset Lifecycle Management,Asset Management
72826,ABB1 - Correction of Asset Account,Asset Lifecycle Management,Asset Management
72828,AS02 - Change Asset,Asset Lifecycle Management,Asset Management
84237,MasterAM,Asset Lifecycle Management,Asset Management
10484,Revenue By Country - Validate three BW Interfaces - VPN REQUIRED,Revenue Reporting,Finance
14736,FICO - Create Vendor Invoice,Vendor Invoice Processing,Finance
45602,CreateG/LAccount,Finance Process,Finance
46722,.FS00_Create_G/L_Account,Finance Process,Finance
81426,.FICO SAP Park-Fiori Post,Finance Process,Finance
85752,CreateGLAccount,Finance Process,Finance
10884,SAP - FICO - Add/Reverse GL Transaction,Record to Report (RTR),Finance
13331,E2E-NormalizedModel,Record to Report (RTR),Finance
13333,E2E-DeNormalizedModel,Record to Report (RTR),Finance
13336,E2E-DeNormalizedModel - LargeLoopExample,Record to Report (RTR),Finance
13933,Integrated Test,Record to Report (RTR),Finance
14816,E2E_Verify Menu Options with Data,Record to Report (RTR),Finance
24108,FICO_CreateInvoice - 1809,Record to Report (RTR),Finance
24542,SAPExcel_FindExcelRowAndPasteSAPScreenshots,Record to Report (RTR),Finance
30698,SAP FICO Create Invoice,Record to Report (RTR),Finance
10884,SAP - FICO - Add/Reverse GL Transaction,Record to Report (RTR),Finance
13331,E2E-NormalizedModel,Record to Report (RTR),Finance
13333,E2E-DeNormalizedModel,Record to Report (RTR),Finance
13336,E2E-DeNormalizedModel - LargeLoopExample,Record to Report (RTR),Finance
13933,Integrated Test,Record to Report (RTR),Finance
14816,E2E_Verify Menu Options with Data,Record to Report (RTR),Finance
24108,FICO_CreateInvoice - 1809,Record to Report (RTR),Finance
24542,SAPExcel_FindExcelRowAndPasteSAPScreenshots,Record to Report (RTR),Finance
30698,SAP FICO Create Invoice,Record to Report (RTR),Finance
46721,FB50 Post GL Document,Record to Report (RTR),Finance
46728,Asset Creation,Record to Report (RTR),Finance
55250,Header Data Validation,Record to Report (RTR),Finance
61742,Header Data Validation,Record to Report (RTR),Finance
61747,File Move and SE16 Automation,Record to Report (RTR),Finance
81323,Journal Entry Posting SAP - Sales Order Creation in Fiori,Order to Cash,Finance
81333,FB50 - VA01 process,Finance Process,Finance
